Model,EOL Date,EOSL Date
Nexus 31108PC-V,"Aug 31, 2022","Aug 31, 2027"
Nexus 31108TC-V,"Aug 31, 2022","Aug 31, 2027"
Nexus 3232C,"Aug 31, 2022","Aug 31, 2027"
Nexus 3132Q-V,"Aug 31, 2022","Aug 31, 2027"
Nexus N3K-C3172TQ Switch,"Feb 28, 2022","Feb 28, 2027"
Nexus N3K-C3264C-E Switch,"Feb 28, 2022","Feb 28, 2027"
Nexus N7K-C7004 Switch,"Feb 28, 2022","Feb 28, 2027"
Nexus N7K-F306CK-25 Switch,"Feb 28, 2022","Feb 28, 2027"
Nexus N3K-C3132C-Z Switch,"Feb 28, 2022","Feb 28, 2027"
Nexus N3K-C3172PQ-XL Switch,"Feb 28, 2022","Feb 28, 2027"
Nexus N7K-M348XP-25L Switch,"Feb 28, 2022","Feb 28, 2027"
Nexus N7K-C7009 Switch,"Feb 28, 2022","Feb 28, 2027"
Nexus N7K-SUP2E Module,"Feb 28, 2022","Feb 28, 2027"
Nexus N3K-C3172TQ-XL Switch,"Feb 28, 2022","Feb 28, 2027"
Nexus N7K-C7010 Switch,"Feb 28, 2022","Feb 28, 2027"
Nexus N3K-C3172PQ Switch,"Feb 28, 2022","Feb 28, 2027"
Nexus N7K-F248XT-25E Module,"Feb 28, 2022","Feb 28, 2027"
Nexus N7K-C7010-FAB-2 Switch,"Feb 28, 2022","Feb 28, 2027"
Nexus N7K-C7018-FAB-2 Switch,"Feb 28, 2022","Feb 28, 2027"
Nexus N7K-F312FQ-25 Switch,"Feb 28, 2022","Feb 28, 2027"
Nexus N7K-SUP2 Module,"Feb 28, 2022","Feb 28, 2027"
Nexus N7K-C7018 Switch,"Feb 28, 2022","Feb 28, 2027"
Nexus N7K-F348XP-25 Switch,"Feb 28, 2022","Feb 28, 2027"
Nexus N3K-C31128PQ Switch,"Feb 28, 2022","Feb 28, 2027"
Nexus N7K-M324FQ-25L Switch,"Feb 28, 2022","Feb 28, 2027"
Meraki MX100,"Feb 01, 2022","Feb 01, 2027"
Nexus 3524-X,"Jan 31, 2022","Jan 31, 2027"
Nexus 3548-X,"Jan 31, 2022","Jan 31, 2027"
UCS-E vSAN,"Nov 30, 2021","Nov 30, 2026"
Meraki MS390 4x10GE Module (MA-MOD-4×10),"Nov 01, 2021","Nov 01, 2026"
Meraki MX84,"Oct 31, 2021","Oct 31, 2026"
ASA 5508-X,"Aug 31, 2021","Aug 31, 2026"
ASA 5506-X,"Aug 31, 2021","Aug 31, 2026"
ASA 5515-X,"Aug 31, 2021","Aug 31, 2026"
Meraki MR42,"July 21, 2021","July 21, 2026"
Meraki MR74,"July 21, 2021","July 21, 2026"
Meraki MR53E,"July 21, 2021","July 21, 2026"
Meraki MR45,"July 21, 2021","July 21, 2026"
Meraki MR52,"July 21, 2021","July 21, 2026"
Meraki MR53,"July 21, 2021","July 21, 2026"
Meraki MR33,"July 21, 2021","July 21, 2026"
Meraki MR84,"June 21, 2021","June 21, 2026"
Meraki MV71,"June 19, 2021","June 19, 2026"
Meraki MV21,"June 19, 2021","June 19, 2026"
Nexus 3464C Switch,"Oct 31, 2020","Oct 31, 2025"
Nexus 34180YC Switch,"Oct 31, 2020","Oct 31, 2025"
Connectrix-Brocade DS-6510R-8GB,"Aug 31, 2020","Aug 31, 2025"
Nexus 93180LC-EX,"Aug 31, 2020","Aug 31, 2025"
Nexus 3048 Switch,"Aug 31, 2020","Aug 31, 2025"
Meraki MX65,"July 28, 2020","July 28, 2025"
Meraki MS220-8,"July 28, 2020","July 28, 2025"
Meraki Z1,"July 27, 2020","July 27, 2025"
Meraki MX400,"May 20, 2020","May 20, 2025"
Meraki MX800,"May 20, 2020","May 20, 2025"
Nexus 3132Q-X Switch,"April 30, 2020","April 30, 2025"
Nexus 3132Q-XL Switch,"April 30, 2020","April 30, 2025"
Nexus 3264Q Switch,"April 30, 2020","April 30, 2025"
Nexus 7000 M2-Series 2-Port 100 Gigabit Ethernet Module with XL,"March 31, 2020","March 31, 2025"
Nexus N3K-C3064-FAN,"Jan 31, 2020","Jan 31, 2025"
Nexus N3K-C3064-FAN-B,"Jan 31, 2020","Jan 31, 2025"
Meraki MR62,"Nov 15, 2019","Nov 15, 2024"
Nexus 3164Q,"Oct 31, 2019","Oct 31, 2024"
Meraki MS220-48FP L2,"July 29, 2019","July 29, 2024"
Meraki MS220-48LP L2,"July 29, 2019","July 29, 2024"
Meraki MS220 Series,"July 29, 2019","July 29, 2024"
Meraki MS220-48 L2,"July 29, 2019","July 29, 2024"
Meraki MS220-24 L2,"July 29, 2019","July 29, 2024"
Meraki MR66,"June 09, 2019","June 09, 2024"
Nexus 7000 M2-Series 6-Port 40 Gigabit Ethernet Module with XL Option,"May 31, 2019","May 31, 2024"
Nexus 5500 Series Switches,"May 31, 2019","May 31, 2024"
Nexus 5596UP Switch,"May 31, 2019","May 31, 2024"
Nexus 7000 Supervisor 1 8GB Memory Upgrade Kit,"May 31, 2019","May 31, 2024"
Meraki MR72,"April 30, 2019","April 30, 2024"
Meraki MR32,"March 31, 2019","March 31, 2024"
Meraki MR18 Cloud Managed AP,"March 31, 2019","March 31, 2024"
Nexus 9332PQ Switch,"March 31, 2019","March 31, 2024"
Meraki MS320 Series,"March 31, 2019","March 31, 2024"
Meraki MR34,"Oct 31, 2018","Oct 31, 2023"
Catalyst 4500 Supervisor Engine 7L-E,"Oct 31, 2018","Oct 31, 2023"
Meraki MS420,"Oct 31, 2018","Oct 31, 2023"
ASA 5506W-X WiFi Security Appliances,"Sept 30, 2018","Sept 30, 2023"
Meraki MX80,"Aug 30, 2018","Aug 30, 2023"
ASA 5585-X Adaptive Security Appliance,"May 31, 2018","May 31, 2023"
Meraki AC-MR-1-XX,"May 09, 2018","May 09, 2023"
Meraki MR26,"May 09, 2018","May 09, 2023"
C1-N9K-C9396TX,"April 30, 2018","April 30, 2023"
Nexus 9396TX Switch,"April 30, 2018","April 30, 2023"
Nexus 9396PX Switch,"April 30, 2018","April 30, 2023"
N9K-C9396TX,"April 30, 2018","April 30, 2023"
Nexus 9300,"Feb 19, 2018","Feb 19, 2023"
Nexus 9300,"Feb 19, 2018","Feb 19, 2023"
2900 Series Integrated Routers,"Dec 31, 2017","Dec 31, 2022"
UCS B460 v3 Blade Server,"Dec 31, 2017","Dec 31, 2022"
3900 Series Integrated Routers,"Dec 31, 2017","Dec 31, 2022"
2900 Series Integrated Services Router Modules,"Dec 31, 2017","Dec 31, 2022"
UCS B260 v3 Blade Server,"Dec 31, 2017","Dec 31, 2022"
3900 Series Integrated Services Router Modules,"Dec 31, 2017","Dec 31, 2022"
Meraki MS320 power supply and fan,"Nov 16, 2017","Nov 16, 2022"
Meraki MS420 power supply and fan,"Nov 16, 2017","Nov 16, 2022"
Nexus 7700 F2-Series Enhanced 48-Port Fiber 1 Gigabit Ethernet Module,"Oct 31, 2017","Oct 31, 2022"
N9K-C93128TX-FA-L3,"Oct 31, 2017","Oct 31, 2022"
N9K-C93128TX-BA-L3,"Oct 31, 2017","Oct 31, 2022"
N9K-C93128TX,"Oct 31, 2017","Oct 31, 2022"
Nexus 7700 F2-Series Enhanced 48-Port Fiber 10 Gigabit Ethernet Module,"Oct 31, 2017","Oct 31, 2022"
C1-N9K-C93128TX,"Oct 31, 2017","Oct 31, 2022"
Nexus 7700 F2-Series Enhanced 48-Port Fiber 1 Gigabit Ethernet Module,"Oct 31, 2017","Oct 31, 2022"
Nexus 7000 F2-Series Enhanced 48-Port Fiber 1 Gigabit Ethernet Module,"Oct 31, 2017","Oct 31, 2022"
Nexus 7000 F2-Series Enhanced 48-Port Fiber 10 Gigabit Ethernet Module,"Oct 31, 2017","Oct 31, 2022"
Nexus 9300 Series 93128TX Switch,"Oct 31, 2017","Oct 31, 2022"
Meraki MR12,"Oct 24, 2017","Oct 24, 2022"
Meraki MX60W,"Oct 24, 2017","Oct 24, 2022"
Meraki MX60,"Oct 24, 2017","Oct 24, 2022"
ASA 5512-X,"Aug 31, 2017","Aug 31, 2022"
ASA 5505 Adaptive Security Appliance,"Aug 31, 2017","Aug 31, 2022"
Nexus 9500 48-Port 1/10GBASE-T,"July 31, 2017","July 31, 2022"
Nexus 9500 48-Port 1/10GBASE-T,"July 31, 2017","July 31, 2022"
Small Business 300 Series Managed Switches,"May 31, 2017","May 31, 2022"
9500 Series Supervisor 2A,"April 30, 2017","April 30, 2022"
MDS 9500 Family Fiber Channel Switching Modules,"April 30, 2017","April 30, 2022"
MDS 9506 Director,"April 30, 2017","April 30, 2022"
Nexus 7000 Series Supervisor 1 Module Compact Flash Memory,"April 30, 2017","April 30, 2022"
Cisco 9506 Director,"April 30, 2017","April 30, 2022"
Cisco 9513 Director,"April 30, 2017","April 30, 2022"
Nexus 6000 Series Switches,"April 30, 2017","April 30, 2022"
UCS B460 M4 v2 Blade Server,"April 30, 2017","April 30, 2022"
UCS B260 v2 Blade Server,"April 30, 2017","April 30, 2022"
Nexus 3064-X Switch,"April 30, 2017","April 30, 2022"
Meraki ANT-13,"April 24, 2017","April 24, 2022"
Meraki ANT-11,"April 24, 2017","April 24, 2022"
Nexus 7000 Series Network Analysis Module (NAM-NX1),"March 31, 2017","March 31, 2022"
Aironet 2602e,"Dec 31, 2016","Dec 31, 2021"
UCS C240 M3 Rack Server,"Dec 31, 2016","Dec 31, 2021"
UCS B200 M3 Blade Server,"Dec 31, 2016","Dec 31, 2021"
UCS B420 M3 Blade Server,"Dec 31, 2016","Dec 31, 2021"
UCS SAS RAID Controllers,"Dec 31, 2016","Dec 31, 2021"
Cisco 819 Hardened Integrated Services Router,"Dec 31, 2016","Dec 31, 2021"
Cisco 1941W Integrated Services Router,"Dec 31, 2016","Dec 31, 2021"
Select Server Nodes for Cisco UCS C3160 Rack Servers,"Dec 31, 2016","Dec 31, 2021"
UCS C220 M3,"Dec 31, 2016","Dec 31, 2021"
UCSC-10PK-C220,"Dec 31, 2016","Dec 31, 2021"
UCSC-10PK-C220M3L,"Dec 31, 2016","Dec 31, 2021"
UCSC-10PK-C220M3S,"Dec 31, 2016","Dec 31, 2021"
UCSC-AIRBAF-C220,"Dec 31, 2016","Dec 31, 2021"
UCSC-C220-M3L,"Dec 31, 2016","Dec 31, 2021"
UCSC-C220-M3L-CH,"Dec 31, 2016","Dec 31, 2021"
UCSC-PCIE-RL-C220,"Dec 31, 2016","Dec 31, 2021"
UCSC-HS-C220M3,"Dec 31, 2016","Dec 31, 2021"
UCSC-MRB-002-C460=,"Dec 31, 2016","Dec 31, 2021"
UCSC-C220-M3S-CH,"Dec 31, 2016","Dec 31, 2021"
Aironet 2602i,"Dec 31, 2016","Dec 31, 2021"
UCS SAS RAID Controllers,"Dec 31, 2016","Dec 31, 2021"
UCS B420 M3 Blade Server,"Dec 31, 2016","Dec 31, 2021"
UCS B200 M3 Blade Server,"Dec 31, 2016","Dec 31, 2021"
UCS C240 M3 Rack Server,"Dec 31, 2016","Dec 31, 2021"
Aironet 2602e,"Dec 31, 2016","Dec 31, 2021"
Aironet 2602i,"Dec 31, 2016","Dec 31, 2021"
Aironet 2600 Series,"Dec 31, 2016","Dec 31, 2021"
UCS 5108,"Nov 30, 2021","Nov 30, 2021"
Cisco UCS 5108 Blade Server Chassis N20-C6508,"Nov 30, 2016","Nov 30, 2021"
Nexus 7000 M1-Series (XL Version) I/O Modules,"Oct 31, 2016","Oct 31, 2021"
Nexus 3500 Series Switches,"Oct 31, 2016","Oct 31, 2021"
Nexus 3132Q Switch (40 GE),"Oct 31, 2016","Oct 31, 2021"
Cisco 2911 Integrated Services Router Temperature-Tolerant System,"Oct 05, 2016","Oct 05, 2021"
Catalyst 4900M,"Oct 05, 2016","Oct 05, 2021"
Catalyst 3750X,"Oct 05, 2016","Oct 05, 2021"
Select Cisco 12-Gbps Solid State Drives,"Sept 30, 2016","Sept 30, 2021"
TelePresence Server MSE 8710,"Aug 02, 2016","Aug 02, 2021"
Cisco 7600 Series Routers,"July 31, 2016","July 31, 2021"
Meraki MR42E,"July 21, 2016","July 21, 2021"
Cisco Nexus 3064-T Switch,"June 30, 2016","June 30, 2021"
Cisco Nexus 3064 Switch,"June 30, 2016","June 30, 2021"
Cisco Catalyst 3750V2-24FS Switch,"May 31, 2016","May 31, 2021"
Catalyst 3750V2,"May 31, 2016","May 31, 2021"
Catalyst 3560V2,"May 31, 2016","May 31, 2021"
Meraki MR16,"May 31, 2016","May 31, 2021"
Meraki MR24,"May 31, 2016","May 31, 2021"
Cisco Catalyst 3750V2-48PS Switch,"May 31, 2016","May 31, 2021"
Cisco Catalyst 3750V2-48TS Switch,"May 31, 2016","May 31, 2021"
Cisco Catalyst 3750V2-24PS Switch,"May 31, 2016","May 31, 2021"
Cisco Catalyst 3560V2-48PS Switch,"May 31, 2016","May 31, 2021"
Cisco Catalyst 3560V2-24DC Switch,"May 31, 2016","May 31, 2021"
Cisco Catalyst 3560V2-48TS Switch,"May 31, 2016","May 31, 2021"
Cisco Catalyst 3560V2-24PS Switch-24PS Switch,"May 31, 2016","May 31, 2021"
Cisco Catalyst 3560V2-24TS Switch,"May 31, 2016","May 31, 2021"
Meraki MS22,"April 30, 2016","April 30, 2021"
ASR 1000 Series,"April 26, 2016","April 26, 2021"
Meraki MX90,"April 26, 2016","April 26, 2021"
Meraki MS42P,"April 26, 2016","April 26, 2021"
Meraki MS22P,"April 26, 2016","April 26, 2021"
Select Cisco C880 Servers,"April 26, 2016","April 26, 2021"
Meraki MS42,"April 26, 2016","April 26, 2021"
Catalyst 6500,"April 26, 2016","April 26, 2021"
Fabric Manager Server,"March 30, 2016","March 30, 2021"
UCS C420 M3 Rack Server,"Feb 28, 2016","Feb 28, 2021"
Nexus 7000 F2-Series 48-Port 1 and 10 Gigabit Ethernet Module,"Jan 31, 2016","Jan 31, 2021"
Cisco ME 3400-24FS-A Switch,"Jan 31, 2016","Jan 31, 2021"
Catalyst 3750-X,"Jan 28, 2016","Jan 28, 2021"
Catalyst 3750-X,"Jan 28, 2016","Jan 28, 2021"
Catalyst 3560-X,"Jan 28, 2016","Jan 28, 2021"
Catalyst 3560-X,"Jan 28, 2016","Jan 28, 2021"
Prime NAM 2304 Appliance,"Nov 27, 2015","Nov 27, 2020"
Prime NAM 2320 Appliance,"Nov 27, 2015","Nov 27, 2020"
MDS 9148 Multilayer Fabric Switch,"Oct 31, 2015","Oct 31, 2020"
Cisco Catalyst 2918-24TT-C Switch,"Oct 31, 2015","Oct 31, 2020"
Cisco Catalyst 2918-48TT-C Switch,"Oct 31, 2015","Oct 31, 2020"
Cisco Catalyst 2918-48TC-C Switch,"Oct 31, 2015","Oct 31, 2020"
9148 8GB Switch,"Oct 30, 2015","Oct 30, 2020"
Cisco Catalyst 2918-24TC-C Switch,"Oct 30, 2015","Oct 30, 2020"
Nexus 5548P Switch,"Sept 30, 2015","Sept 30, 2020"
Cisco Nexus 5548P Switch,"Sept 30, 2015","Sept 30, 2020"
Select WAN/LAN modules and cables for ISR G1,"Sept 30, 2015","Sept 30, 2020"
Select Cisco 888 Integrated Services Routers,"Sept 30, 2015","Sept 30, 2020"
ASR 9000 Series Integrated Service Module,"Sept 30, 2015","Sept 30, 2020"
Cisco Business Edition 7000 (Cisco UCS M3 Server),"Aug 01, 2015","Aug 01, 2020"
UCS Invicta Scaling System,"July 31, 2015","July 31, 2020"
Catalyst 6550 24 Port Fabric Enabled,"July 31, 2015","July 31, 2020"
Catalyst 6500 24 Port Fabric Enabled,"July 31, 2015","July 31, 2020"
Cisco Catalyst Blade Switch 3120,"July 31, 2015","July 31, 2020"
UCS Invicta B3116 Blade,"July 31, 2015","July 31, 2020"
UCS Invicta C3124SA,"July 31, 2015","July 31, 2020"
Whiptail Racerunner 4.x,"July 31, 2015","July 31, 2020"
Cisco ME 2600X 44FE-D-K9 Switch,"June 30, 2015","June 30, 2020"
Cisco ME 2600X 44FA-D-K9 Switch,"June 30, 2015","June 30, 2020"
Cisco ME 2600X 44FA-A-K9 Switch,"June 30, 2015","June 30, 2020"
MDS 9222i Multiservice Modular Switch,"April 30, 2015","April 30, 2020"
9304 18-port FC and 4-port GE Module,"April 30, 2015","April 30, 2020"
9222I 8GB/Sec IP Switch,"April 30, 2015","April 30, 2020"
MDS 9222i 8Gb-IP Switch,"April 30, 2015","April 30, 2020"
MDS 9000 10-GPS 8-Port FCoE Module,"April 30, 2015","April 30, 2020"
UCS C460 M2 High Performance Rack Server,"April 30, 2015","April 30, 2020"
UCS C260 M2 Rack Server,"April 30, 2015","April 30, 2020"
UCS C24 M3 Rack Server,"April 30, 2015","April 30, 2020"
UCS C22 M3 Rack Server,"April 30, 2015","April 30, 2020"
UCS B440 M2 High-Performance Blade Server,"April 30, 2015","April 30, 2020"
UCS B230 M2 Blade Server,"April 30, 2015","April 30, 2020"
UCS B22 M3 Blade Server,"April 30, 2015","April 30, 2020"
ASA 1000V,"March 31, 2015","March 31, 2020"
Catalyst 4948 (300 W AC Power),"Jan 31, 2015","Jan 31, 2020"
Cisco MCS 7845-I2,"Dec 31, 2014","Dec 31, 2019"
Cisco MCS 7845-I3,"Dec 31, 2014","Dec 31, 2019"
MCS 7825-H4 Unified Communications Manager Appliance,"Dec 31, 2014","Dec 31, 2019"
Cisco MCS 7845-H2 Unified Communications Manager Appliance,"Dec 31, 2014","Dec 31, 2019"
MCS 7825-H4,"Dec 31, 2014","Dec 31, 2019"
Cisco MCS 7845-H2,"Dec 31, 2014","Dec 31, 2019"
MCS 7828-I5 UC Manager Business Edition Appliance,"Dec 31, 2014","Dec 31, 2019"
MCS 7835-I2 Unified Communications Manager Appliance,"Dec 31, 2014","Dec 31, 2019"
Cisco 7845I Media Convergence Server,"Dec 31, 2014","Dec 31, 2019"
MCS 7845-H2,"Dec 31, 2014","Dec 31, 2019"
MCS 7845-H2 Unified Communications Manager Appliance,"Dec 31, 2014","Dec 31, 2019"
7845I Media Convergence Server,"Dec 31, 2014","Dec 31, 2019"
MCS 7828-I5 UC Manager Business Edition Appliance,"Dec 31, 2014","Dec 31, 2019"
Cisco MCS 7845-H2,"Dec 31, 2014","Dec 31, 2019"
MCS 7825-H4,"Dec 31, 2014","Dec 31, 2019"
Cisco MCS 7845-H2 Unified Communications Manager Appliance,"Dec 31, 2014","Dec 31, 2019"
MCS 7825-H4 Unified Communications Manager Appliance,"Dec 31, 2014","Dec 31, 2019"
Cisco MCS 7845-I3,"Dec 31, 2014","Dec 31, 2019"
Cisco MCS 7845-I2,"Dec 31, 2014","Dec 31, 2019"
MCS 7825-I4,"Dec 31, 2014","Dec 31, 2019"
Cisco MCS 7835-H2,"Dec 31, 2014","Dec 31, 2019"
MCS 7825-I4 Unified Communications Manager Appliance,"Dec 31, 2014","Dec 31, 2019"
Cisco MCS 7835-H2 Unified Communications Manager Appliance,"Dec 31, 2014","Dec 31, 2019"
MCS 7825-I3,"Dec 31, 2014","Dec 31, 2019"
Cisco MCS 7835-I3,"Dec 31, 2014","Dec 31, 2019"
MCS 7825-I3 Unified Communications Manager Appliance,"Dec 31, 2014","Dec 31, 2019"
Cisco MCS 7835-I2,"Dec 31, 2014","Dec 31, 2019"
Cisco MCS 7835-I2 Unified Communications Manager Appliance,"Dec 31, 2014","Dec 31, 2019"
Cisco MCS 7828-I5 UC Manager Business Edition Appliance,"Dec 31, 2014","Dec 31, 2019"
Cisco MCS 7825-H4,"Dec 31, 2014","Dec 31, 2019"
Cisco MCS 7825-H4 Unified Communications Manager Appliance,"Dec 31, 2014","Dec 31, 2019"
Cisco MCS 7825-I4,"Dec 31, 2014","Dec 31, 2019"
Cisco MCS 7825-I4 Unified Communications Manager Appliance,"Dec 31, 2014","Dec 31, 2019"
Cisco MCS 7825-I3,"Dec 31, 2014","Dec 31, 2019"
