Model,EOL Date,EOSL Date
Cisco SRW208 8-port 10 100 Ethernet Switch,"Feb 01, 2011","Feb 01, 2016"
Cisco SRW208G 8-port 10 100 Ethernet Switch,"Feb 01, 2011","Feb 01, 2016"
Cisco SRW208MP 8-port 10 100 Ethernet Switch,"Feb 01, 2011","Feb 01, 2016"
Cisco SRW208P 8-port 10 100 Ethernet Switch,"Feb 01, 2011","Feb 01, 2016"
UCS B200 M1,"Jan 22, 2011","Jan 22, 2016"
871 Integrated Services Router,"Dec 16, 2010","Dec 16, 2015"
Cisco Business Edition 5000 Version 8.6,"Nov 02, 2010","Nov 02, 2015"
Cisco Business Edition 5000 Version 8.5,"Nov 02, 2010","Nov 02, 2015"
Cisco SR224 24-port 10 100 Switch – 13-inch chassis,"Oct 09, 2010","Oct 09, 2015"
Content Switching Module with SSL,"Aug 30, 2010","Aug 30, 2015"
Content Switching Module,"Aug 27, 2010","Aug 27, 2015"
RCisco S224G 24-port 10 100 2-port Gigabit Switch + 2 miniGBIC,"Aug 20, 2010","Aug 20, 2015"
Cisco SD216 16-port 10 100 Desktop Switch,"Aug 19, 2010","Aug 19, 2015"
Cisco SD208 8-port 10 100 Switch,"Aug 12, 2010","Aug 12, 2015"
Cisco SD205 5-port 10 100 Switch,"Aug 12, 2010","Aug 12, 2015"
Cisco SR2024C Compact 24-port 10 100 1000 Gigabit Switch,"Aug 12, 2010","Aug 12, 2015"
Cisco SR216 16-port 10 100 Rack Mountable Switch,"Aug 12, 2010","Aug 12, 2015"
Cisco SD2008 8-port 10 100 1000 Gigabit Switch,"Aug 10, 2010","Aug 10, 2015"
Cisco SR224R 24-port 10 100 Switch – 19-inch chassis,"Aug 06, 2010","Aug 06, 2015"
Catalyst 3750-48PS Switch,"July 31, 2010","July 31, 2015"
Catalyst 3750-48TS Switch,"July 31, 2010","July 31, 2015"
Cisco Catalyst 3560-48PS Switch,"July 31, 2010","July 31, 2015"
Cisco Catalyst 3560-48TS Switch,"July 31, 2010","July 31, 2015"
Cisco Catalyst 3560-24PS Switch,"July 31, 2010","July 31, 2015"
Cisco Catalyst 3750-24PS Switch,"July 31, 2010","July 31, 2015"
Cisco Catalyst 3560-24TS Switch,"July 31, 2010","July 31, 2015"
Cisco Catalyst 3750-24TS Switch,"July 31, 2010","July 31, 2015"
Cisco SR2024 24-port 10 100 1000 Gigabit Switch,"July 30, 2010","July 30, 2015"
Cisco SR2016 16-port 10 100 1000 Gigabit Switch,"July 29, 2010","July 29, 2015"
851 Integrated Services Router,"July 16, 2010","July 16, 2015"
Cisco SLM224G4PS 24-port 10 100 + 4-port Gigabit Smart Switch – PoE,"July 14, 2010","July 14, 2015"
Cisco SLM224G4S 24-port 10 100 + 4-port Gigabit Smart Switch – RCT,"July 14, 2010","July 14, 2015"
Cisco Unified Presence Version 8.5,"June 24, 2010","June 24, 2015"
Cisco Unified Presence Version 8.0,"May 16, 2010","May 16, 2015"
Cisco SLM2005 5-port Gigabit Smart Switch – PD AC power,"May 15, 2010","May 15, 2015"
Cisco SLM248G4S 48-port 10 100 + 4-port Gigabit Smart Switch – RCT,"May 08, 2010","May 08, 2015"
Cisco SLM248G4PS 48-port 10 100 + 4-port Gigabit Smart Switch – PoE,"April 30, 2010","April 30, 2015"
MDS 9000 32-Port Storage Services Module,"April 30, 2010","April 30, 2015"
Cisco Unified Presence Version 7.0,"March 03, 2010","March 03, 2015"
MDS 9000 48-port 4-Gbps Fibre Channel Switching module,"Feb 12, 2010","Feb 12, 2015"
MDS 9000 24-port 4-Gbps Fibre Channel Switching Module,"Feb 12, 2010","Feb 12, 2015"
MDS 9000 12-port 4-Gbps Fibre Channel Switching Module,"Feb 12, 2010","Feb 12, 2015"
Cisco Catalyst 2940-8TT Switch,"Jan 04, 2010","Jan 04, 2015"
MCS 7828-H3 Unified Communications Manager Appliance,"Jan 03, 2010","Jan 03, 2015"
MCS 7828-I3 Unified Communications Manager Appliance,"Jan 03, 2010","Jan 03, 2015"
Cisco MCS 7828-H3 Unified Communications Manager Appliance,"Jan 03, 2010","Jan 03, 2015"
Cisco MCS 7828-I3 Unified Communications Manager Appliance,"Jan 03, 2010","Jan 03, 2015"
Network Capacity Expansion,"Dec 31, 2009","Dec 31, 2014"
Cisco Catalyst Express 520-8PC Switch,"Dec 18, 2009","Dec 18, 2014"
Cisco Catalyst Express 520G-24TC Switch,"Dec 18, 2009","Dec 18, 2014"
Cisco Catalyst Express 500-24LC Switch,"Dec 18, 2009","Dec 18, 2014"
Cisco Catalyst Express 500G-12TC Switch,"Dec 18, 2009","Dec 18, 2014"
Cisco Catalyst Express 520-24LC Switch,"Dec 17, 2009","Dec 17, 2014"
Cisco Catalyst Express 520-24PC Switch,"Dec 17, 2009","Dec 17, 2014"
Cisco Catalyst Express 520-24TT Switch,"Dec 17, 2009","Dec 17, 2014"
Cisco Catalyst Express 500-24PC Switch,"Dec 17, 2009","Dec 17, 2014"
Cisco Catalyst Express 500-24TT Switch,"Dec 17, 2009","Dec 17, 2014"
Catalyst 6500 Series SSL Services Module,"Oct 30, 2009","Oct 30, 2014"
815 Integrated Services Router,"Sept 02, 2009","Sept 02, 2014"
MDS 9216 9216A Multilayer Fabric Switch,"Aug 23, 2009","Aug 23, 2014"
MDS 9216A Multilayer Fabric Switch,"Aug 23, 2009","Aug 23, 2014"
MCS 7816-H3,"July 31, 2009","July 31, 2014"
MCS 7816-H3 Unified Communications Manager Appliance,"July 31, 2009","July 31, 2014"
MCS 7816-I3,"July 31, 2009","July 31, 2014"
MCS 7816-I3 Unified Communications Manager Appliance,"July 31, 2009","July 31, 2014"
Cisco SFS 7024D InfiniBand Server Switch,"July 09, 2009","July 09, 2014"
Cisco SFS 7012D InfiniBand Server Switch,"July 09, 2009","July 09, 2014"
Cisco SFS 7000D InfiniBand Server Switch,"July 09, 2009","July 09, 2014"
MDS 9000 8-Port IP Storage Services Module,"July 07, 2009","July 07, 2014"
Cisco SRW224P 24-port 10 100 + 2-port Gigabit Switch,"May 15, 2009","May 15, 2014"
Cisco SRW208L 8-port 10 100 Ethernet Switch,"May 15, 2009","May 15, 2014"
Persistent Storage Device Module,"May 03, 2009","May 03, 2014"
SRW224 Managed Switch,"Dec 02, 2008","Dec 02, 2013"
Cisco SFS 7008P InfiniBand Server Switch,"Nov 25, 2008","Nov 25, 2013"
Cisco SFS 3504 Multifabric Server Switch,"Oct 23, 2008","Oct 23, 2013"
MDS 9216i Multilayer Fabric Switch,"Oct 10, 2008","Oct 10, 2013"
MDS 9140 40-Port Multilayer Fabric Switch,"Oct 10, 2008","Oct 10, 2013"
MDS 9000 14 2-Port Multiprotocol Services Module,"Oct 08, 2008","Oct 08, 2013"
Cisco SFS 7024P InfiniBand Server Switch,"Sept 30, 2008","Sept 30, 2013"
Cisco SFS 7012P InfiniBand Server Switch,"Sept 30, 2008","Sept 30, 2013"
Cisco SFS 7000P InfiniBand Server Switch,"Sept 30, 2008","Sept 30, 2013"
Cisco SFS 3012 Multifabric Server Switch,"Sept 19, 2008","Sept 19, 2013"
PIX 525 Security Appliance,"July 29, 2008","July 29, 2013"
PIX 515E Security Appliance,"July 29, 2008","July 29, 2013"
PIX 506E Security Appliance,"July 29, 2008","July 29, 2013"
PIX 501 Security Appliance,"July 29, 2008","July 29, 2013"
Catalyst Blade Switch 3030,"June 10, 2008","June 10, 2013"
Cisco SFS 3001 Multifabric Server Switch,"Jan 08, 2008","Jan 08, 2013"
Branch Routers Series Network Analysis Module,"Oct 15, 2007","Oct 15, 2012"
Cisco Catalyst 3750G-16TD Switch,"Oct 13, 2007","Oct 13, 2012"
Cisco Catalyst 3750G-12S Switch,"Oct 13, 2007","Oct 13, 2012"
MDS 9120 20-Port Multilayer Fabric Switch,"Sept 25, 2007","Sept 25, 2012"
MDS 9000 16-Port Fibre Channel Switching Module,"Sept 25, 2007","Sept 25, 2012"
MDS 9000 32-Port Fibre Channel Switching Module,"Sept 16, 2007","Sept 16, 2012"
Catalyst 6500 Series Wireless LAN Services Module,"April 06, 2007","April 06, 2012"
36-Port 10 100 EtherSwitch High Density Service Module,"March 27, 2007","March 27, 2012"
Catalyst 6500 Series Supervisor Engine 2 MSFC2,"March 01, 2007","March 01, 2012"
"ONS 15454 Timing, Communications, & Control – v 2 (TCC2) Card","Nov 15, 2006","Nov 15, 2011"
ONS 15454 SONET Fan Tray Assembly – Version 2,"Nov 01, 2006","Nov 01, 2011"
Catalyst 6509 Switch,"Nov 01, 2006","Nov 01, 2011"
Catalyst 6506 Switch,"Nov 01, 2006","Nov 01, 2011"
Catalyst 6503 Switch,"Nov 01, 2006","Nov 01, 2011"
Cisco Catalyst 2950 24 LRE Switch,"Oct 03, 2006","Oct 03, 2011"
Cisco Catalyst 2950 LRE 997 Switch,"Oct 03, 2006","Oct 03, 2011"
Catalyst 2950,"Oct 03, 2006","Oct 03, 2011"
90-Port DSP Farm Bundle Network Module,"Sept 25, 2006","Sept 25, 2011"
54-Port DSP Farm Bundle Network Module,"Sept 25, 2006","Sept 25, 2011"
Cisco SFS 7008 InfiniBand Server Switch,"Sept 01, 2006","Sept 01, 2011"
MDS 9000 Caching Services Module,"Sept 01, 2006","Sept 01, 2011"
10000 Performance Routing Engine 1,"Aug 17, 2006","Aug 17, 2011"
uBR10012 Performance Routing Engine 1,"Aug 16, 2006","Aug 16, 2011"
Cisco MGX 8250 Edge Concentrator,"Aug 01, 2006","Aug 01, 2011"
Cisco MGX 8230 Edge Concentrator,"Aug 01, 2006","Aug 01, 2011"
ONS 15454 SONET 6-Port DS-3 Transmultiplexer Card,"July 15, 2006","July 15, 2011"
MDS 9000 4-Port IP Storage Services Module,"June 14, 2006","June 14, 2011"
Cisco SFS 7000 InfiniBand Server Switch,"June 01, 2006","June 01, 2011"
7200 Series High-Performance Channel Port Adapter,"June 01, 2006","June 01, 2011"
7600 Catalyst 6500 IPSec VPN Services Module,"May 31, 2006","May 31, 2011"
MDS 9000 32-Port Fibre Channel Advanced Services Module,"May 15, 2006","May 15, 2011"
Catalyst 4000 Supervisor Engine II,"May 04, 2006","May 04, 2011"
Cisco LightStream 1010 ATM Switches,"April 30, 2006","April 30, 2011"
Catalyst 8540 MSR Switch,"April 30, 2006","April 30, 2011"
Catalyst 8510 MSR Switch,"April 30, 2006","April 30, 2011"
VPN Acceleration Module,"April 28, 2006","April 28, 2011"
VPN Acceleration Module 2,"April 28, 2006","April 28, 2011"
Catalyst Inline Power Patch Panel,"April 26, 2006","April 26, 2011"
2600 Series Content Engine Modules,"April 15, 2006","April 15, 2011"
3600 Series Content Engine Modules,"April 15, 2006","April 15, 2011"
3700 Series Content Engine Modules,"April 15, 2006","April 15, 2011"
ONS 15454 10 Gbps Multi-rate Transponder,"Feb 07, 2006","Feb 07, 2011"
ONS 15454 4x 2.5 Gbps Muxponder,"Feb 07, 2006","Feb 07, 2011"
MGX BPX IGX Back Cards,"Feb 01, 2006","Feb 01, 2011"
36-Port DSP Farm Bundle Network Module,"Jan 25, 2006","Jan 25, 2011"
ONS 15454 SONET 12-Port DS-3 Card,"Nov 15, 2005","Nov 15, 2010"
RPS1000 380W Redundant Power Supply Unit,"Oct 31, 2005","Oct 31, 2010"
3600 Series Alarm Interface Controller Network Module,"Oct 04, 2005","Oct 04, 2010"
7600 Supervisor Engine 2 with Multilayer Switch Feature Card,"Sept 30, 2005","Sept 30, 2010"
2600 Series Alarm Interface Controller Network Module,"Sept 04, 2005","Sept 04, 2010"
15454 OC-48 IR 1310nm HS Slot Optics Card,"Aug 02, 2005","Aug 02, 2010"
ONS 15454 SONET OC-48 LR 1550nm HS Slot Optics Card,"Aug 02, 2005","Aug 02, 2010"
Catalyst 4000 Supervisor Engine I,"July 27, 2005","July 27, 2010"
MC16E Universal Broadband Router Line Card,"July 05, 2005","July 05, 2010"
MC16S Universal Broadband Router Line Card,"July 05, 2005","July 05, 2010"
MC14C Universal Broadband Router Line Card,"July 05, 2005","July 05, 2010"
MDS 9000 Advanced Services Module,"May 15, 2005","May 15, 2010"
12000 Series 8-Port OC-3c STM-1c ATM Line Card,"April 30, 2005","April 30, 2010"
Catalyst 6500 Series Supervisor Engine 1A MSFC2,"March 25, 2005","March 25, 2010"
Catalyst 6500 Series Supervisor Engine 1A MSFC1,"March 25, 2005","March 25, 2010"
ONS 15454 OC-192 LR Optics Card,"Jan 27, 2005","Jan 27, 2010"
BPX 8600 Modules,"Jan 14, 2005","Jan 14, 2010"
IGX 8400 Modules,"Jan 14, 2005","Jan 14, 2010"
MGX 8850 Modules,"Jan 14, 2005","Jan 14, 2010"
MGX 8230 Modules,"Jan 14, 2005","Jan 14, 2010"
MGX 8250 Modules,"Jan 14, 2005","Jan 14, 2010"
MGX 8220 Modules,"Jan 14, 2005","Jan 14, 2010"
Cisco Catalyst 2940-8TF Switch,"Jan 05, 2005","Jan 05, 2010"
Catalyst 6509-NEB Switch,"Dec 31, 2004","Dec 31, 2009"
1-Port Fast Ethernet 1-Port Channelized T1 ISDN-PRI with CSU NM,"Dec 25, 2004","Dec 25, 2009"
1-Port Fast Ethernet 1-Port Channelized T1 ISDN-PRI NM,"Dec 24, 2004","Dec 24, 2009"
1-Pt Fast Ethernet 1-Port Channelized E1 ISDN-PRI Unbalanced NM,"Dec 23, 2004","Dec 23, 2009"
1-Port Fast Ethernet 1-Port Channelized E1 ISDN-PRI Balanced NM,"Dec 22, 2004","Dec 22, 2009"
1-Port Fast Ethernet 2-Port Channelized T1 ISDN-PRI with CSU NM,"Dec 21, 2004","Dec 21, 2009"
1-Port Fast Ethernet 2-Port Channelized T1 ISDN-PRI NM,"Dec 20, 2004","Dec 20, 2009"
1-Port Fast Ethernet 2-Pt Channelized E1 ISDN-PRI Unbalanced NM,"Dec 19, 2004","Dec 19, 2009"
1-Port Fast Ethernet 2-Port Channelized E1 ISDN-PRI Balanced NM,"Dec 18, 2004","Dec 18, 2009"
"ONS 15454 Timing, Communications, & Control – Plus (TCC+) Card","Oct 02, 2004","Oct 02, 2009"
1-Port T1 Fractional T1 DSU CSU WAN Interface Card,"Oct 01, 2004","Oct 01, 2009"
Catalyst 4500 Access Gateway Module,"Sept 02, 2004","Sept 02, 2009"
Catalyst 4000 4500 Supervisor Engine III,"July 27, 2004","July 27, 2009"
Cisco IAD2424 Integrated Access Device,"July 13, 2004","July 13, 2009"
Cisco IAD2423 Integrated Access Device,"July 13, 2004","July 13, 2009"
Cisco IAD2421-Integrated Access Device,"July 13, 2004","July 13, 2009"
Cisco IAD2420 Integrated Access Device,"July 13, 2004","July 13, 2009"
Cisco Catalyst 2924 LRE XL Switch,"April 27, 2004","April 27, 2009"
Cisco Catalyst 2912 LRE XL Switch,"April 27, 2004","April 27, 2009"
Integrated Service Adapters,"April 16, 2004","April 16, 2009"
ONS 15454 4-Port Gigabit Ethernet Card (G1000-4),"Dec 31, 2003","Dec 31, 2008"
7600 1-Port OC-48 STM-16 SONET SDH OSM SM-IR with 4 GE,"Dec 15, 2003","Dec 15, 2008"
Catalyst 4000 Integrated Layer 3 Services Engine,"Dec 09, 2003","Dec 09, 2008"
12000 Series 2-Port OC-12c STM-4c DPT Line Card,"Dec 01, 2003","Dec 01, 2008"
7204VXR Router,"Nov 30, 2003","Nov 30, 2008"
"ONS 15454 Timing, Communications, & Control – Intl (TCC-I) Card","Oct 01, 2003","Oct 01, 2008"
PIX 535 Security Appliance,"July 28, 2003","July 28, 2008"
Catalyst 5000 Supervisor Engine III,"June 30, 2003","June 30, 2008"
Catalyst 5000 Supervisor II G Engine,"June 30, 2003","June 30, 2008"
Catalyst 5000 Token Ring Switch Module,"June 30, 2003","June 30, 2008"
12000 Series 1-Port Gigabit Ethernet Line Card,"March 30, 2003","March 30, 2008"
Catalyst 3900 ATM Modules,"Feb 13, 2003","Feb 13, 2008"
Catalyst 3900 Token Ring Copper and Fiber Modules,"Feb 13, 2003","Feb 13, 2008"
Catalyst 3900 Token Ring ISL Modules,"Feb 13, 2003","Feb 13, 2008"
Catalyst 6500 Series Firewall Services Module,"Sept 26, 2002","Sept 26, 2007"
Cisco MGX 8220 Edge Concentrator,"Sept 03, 2002","Sept 03, 2007"
IGX 8400 Universal Router Module,"Aug 31, 2002","Aug 31, 2007"
Cisco FastHub 412 10 100 Repeater,"Aug 14, 2002","Aug 14, 2007"
12000 Series 10-Port Gigabit Ethernet Line Card,"Aug 02, 2002","Aug 02, 2007"
Cisco ATA 186 Analog Telephone Adaptor,"Aug 01, 2002","Aug 01, 2007"
Cisco FastHub 424M 10 100 Repeater,"July 28, 2002","July 28, 2007"
Cisco FastHub 412M 10 100 Repeater,"July 28, 2002","July 28, 2007"
Catalyst 6500 Series Network Analysis Module (First Generation),"June 27, 2002","June 27, 2007"
PIX 515 Firewall,"May 25, 2002","May 25, 2007"
PIX 506 Firewall,"May 25, 2002","May 25, 2007"
Cisco VCO 4K Open Programmable Switch,"March 02, 2002","March 02, 2007"
Catalyst 6000 Series Supervisor Module with MSFC,"March 01, 2002","March 01, 2007"
Cisco MGX 8240 Private Line Gateway,"Jan 16, 2002","Jan 16, 2007"
7206 Router,"Jan 02, 2002","Jan 02, 2007"
Cisco MGX 8260 Media Gateway,"Dec 29, 2001","Dec 29, 2006"
Cisco WS-C1400 Workgroup Concentrator,"Sept 01, 2001","Sept 01, 2006"
PIX 520 Firewall,"June 24, 2001","June 24, 2006"
HP 10BaseT Hub-16M,"Dec 30, 2000","Dec 30, 2005"
Compression Service Adapter for Cisco 7000 Series Routers,"Oct 29, 2000","Oct 29, 2005"
7204 Router,"May 01, 2000","May 01, 2005"
7200 Series 2-Port Channelized E1 PRI Port Adapter,"Jan 28, 2000","Jan 28, 2005"
7200 Series 2-Port Channelized T1 PRI Port Adapter,"Jan 28, 2000","Jan 28, 2005"
MGX 8800 Series Route Processor Module,"Dec 30, 1999","Dec 30, 2004"
12000 Series 1-Port OC-48c STM-16c POS SDH Line Card,"Oct 04, 1999","Oct 04, 2004"
7202 Router,"July 30, 1999","July 30, 2004"
Catalyst 6500 Series Intrusion Detection System (IDSM-1) Module,"April 20, 1998","April 20, 2003"
200 ISDN Adapter,"April 16, 1998","April 16, 2003"
Catalyst 6500 Series Intrusion Detection System (IDSM-2) Module,"Feb 18, 1998","Feb 18, 2003"
Cisco LightStream 2020 ATM Switches,"Jan 03, 1998","Jan 03, 2003"
Cisco LightStream 100 Series Switch,"Nov 01, 1996","Nov 01, 2001"
Cisco WS-C1100 CDDI FDDI Workgroup Concentrator,"Sept 23, 1995","Sept 23, 2000"
Catalyst 9300,Date Not Published,Date Not Published
